branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,O,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fe111d7e0da888630d0429aca0c415129c9b95ee/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-14 22:33:26.129496
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/15235e04a551b5fabce7a6c78201b2c234a86af5/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-14 22:33:26.129443
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/164193461547b7dbc580fcfa95eeced57d19bf5b/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-14 22:33:26.129511
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dd3553f55dbea83161c94d04468ee66312f4568d/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-14 22:33:26.129490
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e259dbff8f0b17b568c936eeb6589bd03ab606c6/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-14 22:33:26.129485
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4c34c74a73b488dde22960301748e88caf1426fa/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),2022-03-14 22:33:26.129471
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.0 4.4.5,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7f8141e1a18f1eb252f80a8c880cc9795e643283/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-14 22:33:26.129516
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.0 4.4.5,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/28ee804b5d24101c49739d2e2dd91f4375503d32/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),2022-03-14 22:33:26.129478
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f474157af9b4a39d56731d3c48c3b6a1da33100c/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-14 22:33:26.129501
develop,hera,intel 18.0.4,mpiuni none,4.7.0 4.4.5,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4343c816d8c7d90ea49298205a005d6ce37f4a1f/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-14 22:33:26.129506
