branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c233027ca6ab999e35bac3497a83f5d3f5b36308/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-15 09:16:49.806641
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/228864f68da93442d2e922b2b478760d37fea0f2/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-15 09:16:49.806655
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/22768c446402968f54be8b66b6af066d2cc9393a/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-15 09:16:49.806672
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d0fc99047049974ce35af902e8e9580f9860ee94/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-15 09:16:49.806668
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ea109731d29fccfdce168fe021228da304b218e8/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-15 09:16:49.806664
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/071820e9b2b5bcf3396e72debccb3d5e6897a051/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),2022-03-15 09:16:49.806651
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/091c943d4cbed83dd8b69b43fa8199a222631286/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-15 09:16:49.806659
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,g,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b6ee86834759bf49fdcac1e5f21c750e86428ce1/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),2022-03-15 09:16:49.806611
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a5eee9f1cb11b7957b6dad529068f473f34948c1/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-15 09:16:49.806646
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1a4aa3f337fe1cfd58b77965f064fd8aa18a23c5/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-15 09:16:49.806634
