branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2ac293a1f6ba88b410d5b1628a74e2d6a20df4f5/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-03-18 01:29:36 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bbeff97c3cb0e360935989e2223be1dfe2550132/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-03-18 01:30:55 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8cd0366f4450ed71c64e8aa600eb782cb40e9d58/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-03-18 01:31:40 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5cb1152dfb8026cb3a50bd56558511a7ac3d4196/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-03-18 01:33:00 +0000
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fc445d5d6aaa0abbc254424ae1cd78dc5d17d3da/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-03-17 20:04:37 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8cc17b4514c1ec7de0442b7512e0493271977ad2/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-03-17 18:41:51 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0496862f11fe6639e749d8cc89d70a5df3524ced/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-03-17 17:16:30 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/289d3e522f0524a0971aa29a3978f8eeb5a8a0ce/develop/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-03-17 18:34:16 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ce1cab617024e61a1cc57735f8c62f28d860d63c/develop/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-03-17 18:39:41 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6f4e31199efdda713d9036e61b37b2d72d5af91a/develop/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),2022-03-17 19:59:32 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/91c8b8b61b815e7eafaf86249b08023e393813b2/develop/cheyenne/intel/18.0.5/g/intelmpi/2018.4.274),2022-03-17 20:06:46 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.8.1 4.5.3,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/31f20444ada6d173f5fce669a792e1dde6336ee8/develop/cheyenne/intel/18.0.5/O/mpiuni/none),2022-03-17 19:34:20 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.8.1 4.5.3,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7c1c99fd4c03634c37dfafffcf2d5ca6a4bbf7f5/develop/cheyenne/intel/18.0.5/g/mpiuni/none),2022-03-17 19:45:32 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d341163545d0cc274cc30073312464d4dcd1980f/develop/cheyenne/intel/18.0.5/O/mpt/2.19),2022-03-17 20:06:05 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8966b8dcf6656cd1a70f3e913f8758d828129878/develop/cheyenne/intel/18.0.5/g/mpt/2.19),2022-03-17 20:13:41 -0600
develop,cheyenne,intel 18.0.5,openmpi 3.1.4,4.6.3 4.4.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9e6f2da12579e4d56182645790ea53cd78ef3a9f/develop/cheyenne/intel/18.0.5/O/openmpi/3.1.4),2022-03-17 20:00:19 -0600
develop,cheyenne,intel 18.0.5,openmpi 3.1.4,4.6.3 4.4.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bfed2ee1122b84f16feccae912da6774ff0d75de/develop/cheyenne/intel/18.0.5/g/openmpi/3.1.4),2022-03-17 20:09:34 -0600
