branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b3ccd2c9649289c7a7606e64dc60c36119ee5ff1/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-03-22 01:54:03 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/66e09703320dbe0e8c9e4e87fd71d31eeba1fff7/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-22 01:55:02 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aeadee7694feb3bdfc019bfe6f8c7c10d2f98756/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-22 01:57:17 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2fc1c0f0b6b2ac426482083ea3f0e3ca00ef2804/develop/discover/intel/19.1.3/O/mpt/2.17),2022-03-22 01:35:15 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13268,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c11ee4e64df3dd071386a8cb96a95761d6faa542/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-03-22 01:59:54 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/59dc39807c8ef050b30b264cc2ce29b97ecf2028/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-03-22 01:09:08 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4f73156f1cdfa48e788e70858661fed9cfeba472/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-03-22 01:33:36 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/34289d34616945c2a1a17fc4464ca44ae9cd13c1/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-03-22 00:56:24 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13254,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9c877327a51478b810b7c2b1775e368fef461a02/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-03-22 01:46:06 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/93bd57fb71ef9105a5c98634e1b5c32905f97a0e/develop/gaea/intel/2019.5/g/mpi/7.7.11),2022-03-22 01:25:11 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0715da779de3579e4cc1350c075816abdf5ee704/develop/gaea/intel/2019.5/O/mpiuni/none),2022-03-22 01:32:22 -0400
develop,hera,gfortran 9.2.0,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/37a8c20adbdf83b7d0d8c68699f9e77eb949a2cf/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-22 05:54:49 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/645f10dbe08c207d3bbd84971d486f3d74981963/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-22 05:54:45 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/21e71f15047baacb40f9e99d7ca984b32acdb20b/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-22 06:01:38 +0000
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/492d0f9846c06d0b518c8c96b6356eb42a8de5a0/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-22 06:01:28 +0000
