branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,O,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/78f1afd5ffa13e304e99795c1cb3121fb492568a),2022-03-08 17:51:04.536602
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/7129810731714dfd62e3a2050af51efedf723c37),2022-03-08 17:51:04.536602
develop,acorn,intel,2019.3,mpi,8.1.7,O,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/37d001e59f489246e87e4adde8109d783708e90c),2022-03-08 17:51:04.536602
develop,acorn,intel,2019.3,mpi,8.1.7,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/159fcf9b83c64b2ca9144b5610dbcb5419e6885e),2022-03-08 17:51:04.536602
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,O,Linux,Pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/3b43c0526717283451d4cfcf087c079315fddb71),2022-03-08 17:53:10.695221
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,g,Linux,Pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/adcdf6173e0125911683f4b4202d1c3245ef5c32),2022-03-08 17:53:10.695221
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,O,Linux,Pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/0210c4de5e0232ba707db12c5e9dad15ccc5be9a),2022-03-08 17:53:10.695221
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,g,Linux,Pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/91ba61b77840d3208e38eac0886ece2d869085fe),2022-03-08 17:53:10.695221
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,O,Linux,Pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/3c15099d7f8531411553e9f95e8e6ca3d33deacc),2022-03-08 17:54:29.567950
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/ea2d95cb736feab8bde1cffe70922f2db07fc08c),2022-03-08 17:54:29.567950
