branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,O,Unicos,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3232e0b5d63afc61d4fb79267fdbadb4c986dde4/develop/cori/intel/19.0.3/O/mpi/7.7.10),2022-03-25 04:16:22 -0700
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,g,Unicos,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e4cd2085254af86399b876155304d04b38272ca3/develop/cori/intel/19.0.3/g/mpi/7.7.10),2022-03-25 04:14:31 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/213e9581cfca8d1e524e610e51677f4cdce21739/develop/cori/intel/19.0.3/O/mpiuni/none),2022-03-25 03:51:40 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/75e8518a23131aec4fa258d549a87d366fdbc3c2/develop/cori/intel/19.0.3/g/mpiuni/none),2022-03-25 03:53:19 -0700
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,pass,11536,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/21f391155eb785e5cbbe6b6237a237c3fe8af6ce/develop/discover/pgi/20.4/O/mpiuni/none),2022-03-25 02:52:51 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,g,Linux,pass,11536,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/602b1576fd7412da4bb25cc38e340f8a9ca3db8f/develop/discover/pgi/20.4/g/mpiuni/none),2022-03-25 03:29:39 -0400
develop,jet,intel 2020.2,intelmpi 2020.2,4.7.0 4.4.5,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b8ea751112cfacc7ec1490391873df73c3a709d7/develop/jet/intel/2020.2/O/intelmpi/2020.2),2022-03-25 04:06:11 +0000
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e6a7df19ce79d20b2ea94dbf9772908597634bce/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-25 03:02:26 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/678c85697ab59e07b16764e5a93d18da8e647d0a/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-25 02:59:39 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/96568921fa769eb4e50702e1e1f7a69d15751788/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-25 03:10:57 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8b5b67ed8692a3c0c0ace725dd78d9f66ecad258/develop/orion/intel/2020.2/O/intelmpi/2020.2),2022-03-25 03:33:03 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f05af77e122a516939af24a5efc7fb1ba4c728b1/develop/orion/intel/2020.2/g/intelmpi/2020.2),2022-03-25 03:33:46 -0500
