branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c6a106c8dffe6c5837c7c16434e8508137acb395/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-03-28 03:23:59 -0400
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,O,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0f698d8109279b9b30a09b63d294c787d35f2414/develop/cori/intel/19.0.3/O/mpi/7.7.10),2022-03-28 07:29:31 -0700
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,g,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/811c41b21e654003c399697f5d7db22c1d61b0a9/develop/cori/intel/19.0.3/g/mpi/7.7.10),2022-03-28 07:32:09 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/53a08de9c14d68cac5c71010fdbdc2c6a4b13cdb/develop/cori/intel/19.0.3/O/mpiuni/none),2022-03-28 03:03:15 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ddbffb63d07121f5d6aa4a9d2661ed75f2cbd701/develop/cori/intel/19.0.3/g/mpiuni/none),2022-03-28 03:15:29 -0700
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,pass,11499,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/174beeb56f915cf33eb21f496d03c3e94fffe36f/develop/discover/pgi/20.4/O/mpiuni/none),2022-03-28 02:47:03 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,g,Linux,pass,11499,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/75148881bee19a97ec88d526c7ca18b329ba3bd9/develop/discover/pgi/20.4/g/mpiuni/none),2022-03-28 02:54:02 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13646,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c85b44c6861dda33c47867131810184f164542e5/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-03-28 02:06:02 -0400
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,O,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8039e44d787d5d95e61b5249860661bc9adb407e/develop/orion/gfortran/8.3.0/O/mpiuni/none),2022-03-28 02:49:31 -0500
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3a80507287281b200b5abd236534f1d5b64bb5b6/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-28 03:00:57 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/81daa721cc0316e627001a317b337533ca9acd3e/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-28 02:58:15 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4d3484f04152e3a1ba3fd4063beaf7c136c81bb5/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-28 03:07:40 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e5ebea1c01715aeece40c76f788747cb47d72e80/develop/orion/intel/2020.2/O/intelmpi/2020.2),2022-03-28 03:34:03 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/960f4db6533d3d689faf9db8132dc62b3af202be/develop/orion/intel/2020.2/g/intelmpi/2020.2),2022-03-28 03:30:30 -0500
