branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/356eb5f3586054268bd6eefdc55937dc8fc6a830/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-03-30 01:55:33 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/030f3f74802129bd994dd9b3e2b900c893c69577/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-03-30 02:53:02 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c7245ab56bbb97467954d7f1f40f859a24e420e2/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-03-30 02:26:36 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a7014a6323164a339b2dc1ccafb99b2809fa973e/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-03-30 03:24:04 -0400
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,O,Unicos,pass,13647,0,49,0,80,0,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/832bb8a40a6692513200986300da328c1ea75cdc/develop/cori/intel/19.0.3/O/mpi/7.7.10),2022-03-30 04:18:28 -0700
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,g,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fa97bd3173320d0a7eadcd5af80f10bd3c68e7c4/develop/cori/intel/19.0.3/g/mpi/7.7.10),2022-03-30 07:15:36 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d965ad32c7d44758f1a0eaad4f5322c350c05911/develop/cori/intel/19.0.3/O/mpiuni/none),2022-03-30 04:04:09 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b171cf599041020776904c86b76b2e46e4b8acd3/develop/cori/intel/19.0.3/g/mpiuni/none),2022-03-30 06:11:09 -0700
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ca9990f9988b5d0eaac6a48120a9d6584ac692ba/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-30 01:38:05 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cd32b3825d47caf021faf73dc9dae6e478f2327f/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-30 01:46:28 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ca9990f9988b5d0eaac6a48120a9d6584ac692ba/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-30 01:38:05 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cd32b3825d47caf021faf73dc9dae6e478f2327f/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-30 01:46:28 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a2190c8e878971d2146916fdf70f6b41cd2943e4/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-30 01:28:00 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0beb0737e5e97a12465ce41a005f7f61017320cd/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-30 01:36:53 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1238b2609c3da2c733cad0fe6be81b3f116895d8/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-30 01:31:42 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/667d87e5766c110cdb0d1c54bc19cec365364d05/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-30 01:38:39 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/37e11021a3c2037176cea603ddb2a6b543a2d660/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-03-30 01:59:09 -0400
