branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6f3be4661db40b80ea1606191061b96873548274/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-04-08 01:55:17 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8b0cec9adcbdbb2853f732effdc155bd657df808/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-04-08 01:41:13 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a8d4f660eb3b6c70929204cc3fcc522e32f18ccf/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-04-08 01:46:18 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/83143745083c6424907ad002fd87d4f9d8103f59/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-04-08 01:38:42 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bfddf5605acde90041b3cd60f13583e297e7b0b2/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-04-08 01:48:17 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/48c232c933f630235c106cf9cf9ff1e7a6a03f85/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-04-08 01:33:31 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ad939f63ad6c830165b763f46d5f0dfc1a018007/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-04-08 01:39:50 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/45012413dc54e5952b7bad1aa4d2d820542c12e9/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-04-08 01:35:40 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ad939f63ad6c830165b763f46d5f0dfc1a018007/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-04-08 01:39:50 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0f292993f9e4d1d9964398a0cd6c5eb9fb9fca49/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-04-08 01:55:18 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b74507c5a8dcca71aa68cf8ae611735f59bbde83/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-04-08 02:00:30 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13647,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a0e3184d58a1d81b151781a6a8aa608c580f9f52/develop/discover/intel/19.1.3/O/mpt/2.17),2022-04-08 01:45:06 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13647,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/18df96ea131b227a0bf3b2b52239381ae0431f65/develop/discover/intel/19.1.3/g/mpt/2.17),2022-04-08 01:50:25 -0400
develop,jet,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,O,Linux,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0adad67fb9c3e2440f08f755e56cfac9fdca502c/develop/jet/gfortran/9.2.0/O/openmpi/3.1.4),2022-04-08 03:55:16 +0000
develop,jet,intel 2020.2,mvapich2 2.3,4.7.0 4.4.5,O,Linux,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/431b37cd985503810aa942f3fdd6076a64cb1b07/develop/jet/intel/2020.2/O/mvapich2/2.3),2022-04-08 04:00:33 +0000
