branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c4225b7f07365fe2b61fbb34669e738d9f31ec97/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-04-12 01:51:27 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1827325a77796a81a28c05a003283106a3e85329/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-04-12 01:58:03 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/13a431077b1bfad671cd8e53fcf456ae47f70899/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-04-12 01:54:50 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3b0574b1c1b4ccde38b2ba0da09534aa88aface3/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-04-12 01:54:30 +0000
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/331128ba403281da5c79b967600889ae9c0ec06b/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-04-12 01:54:53 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1a0face41f62f9181bb85743fe790a87dec8f2af/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-04-12 02:54:18 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3e5310b38a0cde08c9b531f676f08080cfd3501f/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-04-12 02:28:04 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0e63c0e5e8fdfd0383308f53a4ab2a8802e914e9/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-04-12 03:27:47 -0400
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7f45d4ec87770426e48d6305fc1947683c333a7d/develop/cori/intel/19.0.3/O/mpiuni/none),2022-04-12 04:41:07 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a3e5ce38ec068034ce356cf93508066b628d720d/develop/cori/intel/19.0.3/g/mpiuni/none),2022-04-12 04:42:14 -0700
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/91087e2257b066d5cd42b5d434cc081f3ca2e0d4/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-04-12 01:06:45 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/855e6aa08d1896b5c8df8aeb6decd190973d24ab/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-04-12 01:12:57 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/40e79bb1a7a3cf9fdf034c9ca280e28ed408bf7e/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-04-12 01:04:26 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/82f76c066bc49bd2644bc49b3e6e83a64228a009/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-04-12 01:10:51 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4ec7cff1c427b9bff15baaf9ef0e693de632b7af/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-04-12 01:03:09 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a254adddef6e2267c11c80f6e716899b7bf4f66c/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-04-12 01:09:47 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/95ed490bb24e9e8443212fc08a333f146a585c98/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-04-12 01:03:45 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d671523681e301703f9890f16f671f8fcc49a384/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-04-12 01:07:40 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b4ee7f4f19dd12ee34b17ec364c5a7771c62041f/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-04-12 01:08:46 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/855e6aa08d1896b5c8df8aeb6decd190973d24ab/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-04-12 01:12:57 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/193734eda80b002ebeaef80a92280558d80f2764/develop/discover/intel/19.1.3/O/mpt/2.17),2022-04-12 01:08:13 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1b2a5b9a7d1dd0065a7fb7d9003e2c94cd964046/develop/discover/intel/19.1.3/g/mpt/2.17),2022-04-12 01:09:16 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ca917802c329680b123d8caf7053a45a8f7c7929/develop/discover/pgi/20.4/O/mpiuni/none),2022-04-12 01:20:17 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b0583c88bc50ff74751b1ecb65c02bb220911afb/develop/discover/pgi/20.4/g/mpiuni/none),2022-04-12 01:36:06 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13660,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/33f3d7cf2f664600dcbfe61765a5d52d27ca53ee/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-04-12 02:03:34 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13660,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0e0abb44d01ab05fa6ec139bf550cbd35af3b9a3/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-04-12 02:33:54 -0400
