branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ded4dfab485a812336a9aac974dab9784dff9a1c/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-04-13 01:54:43 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e8d87433db543f8279eed01ede58c61f36d64950/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-04-13 02:54:06 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5e11126a4315562c9d900ea3b65ddce4992d5e0c/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-04-13 02:27:47 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a3eb5adf79e83c9786193e1f4d3620dd438ee714/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-04-13 03:28:24 -0400
develop,hera,gfortran 9.2.0a,mpiuni none,4.7.2 4.5.2,O,Linux,pass,12124,11,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/38a54b0a43b472819c1ac6dac6577d822e4c661b/develop/hera/gfortran/9.2.0a/O/mpiuni/none),2022-04-13 06:16:56 +0000
develop,hera,gfortran 9.2.0a,mpiuni none,4.7.2 4.5.2,g,Linux,pass,12124,11,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d02b51cc3c1b95ab82b656b664f550f218153f5d/develop/hera/gfortran/9.2.0a/g/mpiuni/none),2022-04-13 06:27:55 +0000
develop,hera,gfortran 9.2.0b,openmpi 3.1.4,N/A N/A,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d02b51cc3c1b95ab82b656b664f550f218153f5d/develop/hera/gfortran/9.2.0b/O/openmpi/3.1.4),2022-04-13 06:27:55 +0000
develop,hera,gfortran 9.2.0b,openmpi 3.1.4,N/A N/A,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a95c1f6b49efd8e7dba62d474d09a8576559fc2a/develop/hera/gfortran/9.2.0b/g/openmpi/3.1.4),2022-04-13 06:40:28 +0000
develop,hera,pgi 19.1,mpiuni none,N/A N/A,O,Linux,pass,11512,623,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/074400f13d74b73289a1b5ad368c4bd65bc3f078/develop/hera/pgi/19.1/O/mpiuni/none),2022-04-13 07:56:24 +0000
develop,hera,pgi 19.1,mpiuni none,N/A N/A,g,Linux,pass,11512,623,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/074400f13d74b73289a1b5ad368c4bd65bc3f078/develop/hera/pgi/19.1/g/mpiuni/none),2022-04-13 07:56:24 +0000
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,O,Linux,pass,12124,11,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/87725e8e9e4ff26d41492120d9a0421c3fa9af84/develop/orion/gfortran/8.3.0/O/mpiuni/none),2022-04-13 02:48:11 -0500
develop,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,12124,11,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/eb1b67b44d526f76077c7993883de7b0e1ba4715/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-04-13 02:56:28 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/59c45aa4f46079481b9d961f03b6902ffae12c4f/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-04-13 03:29:09 -0500
develop,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/382e4b7198d01eab387096c5da7bd72aed759f33/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-04-13 03:36:07 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e3378e521e00ce8d0a5b58db3cb808fb13429f29/develop/orion/intel/2020.2/O/intelmpi/2020.2),2022-04-13 03:33:02 -0500
develop,orion,intel 2020.2,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4e407d91ae37debbe6c074b432225c21255f9093/develop/orion/intel/2020.2/g/intelmpi/2020.2),2022-04-13 03:31:38 -0500
