branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/10a36e6ae3bb55ea3b3f3c0f8884f6ff4edb6bc4/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-04-16 01:51:57 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a452f47aabfdf88f26b8d781ff42e096ebb8bf8c/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-04-16 01:58:05 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/85d9266ded0b08c75fe19fd41adcc80fa727f5a1/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-04-16 01:54:52 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/41e5f6b27351a25eb031b3124ce995b07631d2c4/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-04-16 01:54:30 +0000
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12135,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/de5ba9e1b0d55605e26d9436705fc2a863dcff7e/develop/catania/gfortran/11.2.0/O/mpiuni/none),2022-04-16 06:54:59 -0600
develop,catania,gfortran 11.2.0,mpiuni none,N/A N/A,g,Darwin,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af6d9592d45a66cb518702e94ca761d795c0b3c/develop/catania/gfortran/11.2.0/g/mpiuni/none),2022-04-15 05:54:48 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13507,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7fe7aaf872ff6ba73302eea425964b285104d084/develop/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-04-16 06:21:41 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13507,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/25e99eb5e355ab571e90565c4fba0a59ddba0322/develop/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-04-16 07:36:56 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/53a03f7544f68fc1cb533fe7fe82589657dc1fc8/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-04-16 06:36:18 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13661,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/328ee27120d9860731f2bfeb2099f823199f9099/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-04-16 06:45:47 -0600
