branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d75e7714db7e9cb051dd26dc15f13dc3f967a0a5/develop/catania/gfortran/11.2.0/O/mpiuni/none),2022-05-04 00:39:35 -0600
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,g,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/952f820dd7aa6e66402cdb082f4a6675c83f660c/develop/catania/gfortran/11.2.0/g/mpiuni/none),2022-05-04 02:00:51 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b7a21eb9e76cbadab3f719a402dd09baa45db8d9/develop/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-05-04 00:06:26 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b22582f1a1df5a2315ee8eaaeb6da50c5100e162/develop/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-05-04 01:21:23 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b99db7789e8bf5c7bb8b2e07625a4c43890efeb0/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-05-04 06:36:27 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cf7c138f229700f2c412a54195c0cb00164abd13/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-05-04 06:46:33 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/54861595648d464ff2258c96ff29973b50f332c4/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-05-04 06:47:49 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6b76ee8d042e5f32f6cbf7b429c1be1f757b506e/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-05-04 06:57:53 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/03615e350d33a4d4725c2ddba96a02c1fa7d815b/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-05-04 06:42:58 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13662,0,49,0,80,0,49,1,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/592be34f3d0448d209bd880ba1c5b0a970147c58/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-05-04 06:56:03 -0600
