branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9833620b259287e1c13caba6b9856f465a728b8c/develop/catania/gfortran/11.2.0/O/mpiuni/none),2022-05-05 00:39:32 -0600
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,g,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e51f059b49c06bf1c03288ff29f876642c4bf8b2/develop/catania/gfortran/11.2.0/g/mpiuni/none),2022-05-05 02:00:21 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3747932e123dbb932a6c9c3f2affc1a1e0bfa5f7/develop/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-05-05 00:06:27 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a98bb25e5d1d8c87fe856ba844586b3fbd21024d/develop/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-05-05 01:20:57 -0600
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/19c191a15ee11bd8fa523bc9a3e5372fcd876e4c/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-05-05 01:54:19 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/11fecc1f6434ed3327d2ef9e46a40139d9ffa0dc/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-05-05 02:49:02 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/073073618218bbed947ccd5e90d0d851ae5c2932/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-05-05 02:23:51 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d7997875855a781d36946987a3068e3c5118dff7/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-05-05 03:18:24 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/16f8e994d6bf2f7f1a510fa6ed8fc08dfbf612b9/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-05-05 01:41:15 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aba4d91526f222a966007cddb7ef650b6e36257a/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-05-05 01:45:58 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fc3409329303a2e8f83f644842a947cdfaaca2af/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-05-05 01:37:49 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f061807e3bb5db35e989fbca9d849ede302fc107/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-05-05 01:47:53 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dd9119e45f90b6e3c9a679d822ddfdc82c983211/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-05-05 01:28:05 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cbb2c93ccbe6e7f8da4aef10144ce3ca15c4d87d/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-05-05 01:39:11 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13662,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/05a8c6ae4a5499cf7ccb552a4782357cccd58127/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-05-05 01:30:16 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13662,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/622edfef4f3180bb3d6ec52383ce912569c571ec/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-05-05 01:38:47 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/29519e9fdeae3ae3a030ae2866ddeb318ef88b21/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-05-05 01:54:48 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b3cf6444bb8330959db3aecd3b64482ca55c09f3/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-05-05 01:59:14 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13662,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7fa5f9a6a582417a21a308d36d700442ae7ae8d8/develop/discover/intel/19.1.3/O/mpt/2.17),2022-05-05 01:45:11 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13662,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6c08f797e378e1080164514ace9987384b8e8398/develop/discover/intel/19.1.3/g/mpt/2.17),2022-05-05 01:47:26 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,pass,11510,626,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8ab1457bcea9b586c64a3e13729bb459ec9ec1a5/develop/discover/pgi/20.4/O/mpiuni/none),2022-05-05 03:00:01 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,g,Linux,pass,11510,626,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e1815830d58f9ac0a917accde5da85829c030a7d/develop/discover/pgi/20.4/g/mpiuni/none),2022-05-05 03:08:42 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13661,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bcdc00037cac36db8e1afd5cb1524941f35307d2/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-05-05 02:02:37 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13661,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a58a3fa047447d8dd0ab03cafceeb136febb1a5c/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-05-05 02:35:38 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/20169be67d89f4d0f1d59b993b4ffbdc7d94475e/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-05-05 01:37:12 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bc05dbad9a36d2655243b1c169bf34c341da5bd4/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-05-05 02:09:13 -0400
