branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,13581,78,47,2,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b2c63d3cabe5e641debeade72b757fae6556fc64/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-05-06 02:00:20 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,13581,78,47,2,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cb39d81814b7cbb82c4ac8b9bdb82a636cde5085/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-05-06 01:58:47 +0000
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13659,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/99c9d168750984cd737330037b6b300b3e800961/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-05-06 01:54:24 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13659,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/190c0a0c46858a68a14c1532c23692cfd0ecbddc/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-05-06 02:50:36 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13659,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9fa24a0aaf416e517eec9003401d768b9f5242df/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-05-06 02:25:39 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13659,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c7a2f4c53f693f621569147f1d1f4303743a83a7/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-05-06 03:20:15 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13644,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/55af8db969c1e386dfb95dd1a8ec9b0717dee4e8/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-05-06 01:39:13 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13644,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/452166f29b14498b3b94842da281e9d329cb9b9a/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-05-06 01:46:54 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13644,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2b6ed0e8b870e105feeb217917074d9cd1ea1481/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-05-06 01:40:39 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13644,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f8ba4cb1e3738eb3085695774fbd2a19001488af/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-05-06 01:49:08 -0400
