branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e7f0a00576f315706f69557d9a859aa2180ede68/develop/catania/gfortran/11.2.0/O/mpiuni/none),2022-04-29 00:39:53 -0600
develop,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,g,Darwin,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dee58648049a0349347678a07eb7b04c8b294e72/develop/catania/gfortran/11.2.0/g/mpiuni/none),2022-04-28 02:00:11 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/627e04b0b481abc0785d83329944967f70f8cb7b/develop/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-04-29 00:06:37 -0600
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/738fbb52d109c4f37f820db21241926ac3097ae6/develop/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-04-28 01:20:53 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/65345e4b93e93259124274d1b991046c6de77f33/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-04-28 06:36:19 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7709519d94640d32bdadec1838c93cacc5e0f9ed/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-04-28 06:46:11 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b7aaa83785cfd09150590f229c66706826319df2/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-04-28 06:44:40 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9f6415e52272781e7fd0910a63df099039235581/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-04-28 06:54:35 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2f452f9805b994feea25fbe1a8c6588fe2fe2f9e/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-04-28 06:39:59 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3ad86934050c985d77dae5497b386b2eb65d22f4/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-04-28 06:49:48 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2483b8632a30a337660c83741f1ae7f38890b911/develop/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-04-28 06:35:11 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/10499e9bb6a4b22bcfaa42fc4f07043484d8041e/develop/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-04-28 06:44:52 -0600
