branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13508,154,41,8,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1c65154b74bcada23bb55ddba2590c85ac8ac390/develop/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-05-03 00:06:29 -0600
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3ff0ba2f20be59f42ea87d253d9aa9463dc52d12/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-05-03 01:54:21 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d51ebb166eef9b6ef962464a41be8c61b41ef716/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-05-03 01:41:00 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/69dcdb1c04f3614bf303cea4c73e1d7e6b3db707/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-05-03 01:45:00 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4f3df5932d59378dfe9cf8db4d55c993abcbd0b3/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-05-03 01:37:35 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13647,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/af64a5a8d406c97332297b0e1238de2910a21927/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-05-03 01:48:17 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1a26bab24f0f392551c942ea2d5ab7b0ddb500e1/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-05-03 01:32:53 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/00077408e1c1dbd92ba611a960401c1432884b68/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-05-03 01:38:49 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13662,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/07494facbf0dda8ceb5f663f8612c830b27820fa/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-05-03 01:28:01 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13662,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/00077408e1c1dbd92ba611a960401c1432884b68/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-05-03 01:38:49 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7c9c25a3d61a3530513350b59e0e0da8838ecf5f/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-05-03 01:53:14 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13662,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/60e73946e13023330a886639e23047ac89e29bef/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-05-03 01:57:10 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13662,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/af64a5a8d406c97332297b0e1238de2910a21927/develop/discover/intel/19.1.3/O/mpt/2.17),2022-05-03 01:48:17 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13662,0,49,0,80,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/69dcdb1c04f3614bf303cea4c73e1d7e6b3db707/develop/discover/intel/19.1.3/g/mpt/2.17),2022-05-03 01:45:00 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13661,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/43e3ff5eb06b250fbf23a884397c68559907d51f/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-05-03 01:58:47 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aaba362bc3646b14362d084e0beff4bacdfd769d/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-05-03 01:39:16 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12136,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aefea75cc62deb2d9e9064c458ad52a3f1b577c1/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-05-03 02:11:25 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13647,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/990f8611c06fa4b91cc2a5824e939e78ad39640d/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-05-03 01:36:35 -0400
