branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fd11889bd03369a9e9cf7ceedee343591704f36c/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-05-19 01:21:42 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/64bbf72d474aab6e4cc6cb8b0b0ef862e83d9f62/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-05-19 01:22:40 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6349a23f9d353af72053a40fdcf9d2b186139183/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-05-19 01:27:45 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/83fcf19a7f17ddd01ed9c950a0e2e9bbd0177c75/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-05-19 01:28:12 +0000
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5eb43bc31b477c8751d458f9545285474e26fe4e/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-05-19 06:42:55 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e10260503845012fe73589f6421741a7c0da6f0b/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-05-19 06:54:46 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e6a41f76a38a509132d6a5db2ae09780fe92b341/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-05-19 06:51:17 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/35fd6ecf4ff9223dbcc1ff3eefcd8d94b1125c86/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-05-19 07:00:11 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ce2a33b5beae4c508ab8eaf14782d7c6da51a2f4/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-05-19 06:46:01 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13663,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3c34c3b3d761be3de9cbb99b03a64e1bb81bd91a/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-05-19 06:58:00 -0600
