branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0918253716616a90a84f00d5d6bf1061cf737ba8/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-06-30 01:25:40 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/743d8047bcfbd35f525151b5b1637e7042175fb1/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-06-30 01:26:39 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4822b7bfefff610f978c4ad3d81b78f34dc48978/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-06-30 01:54:19 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4822b7bfefff610f978c4ad3d81b78f34dc48978/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-06-30 01:54:19 +0000
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e15d1a78eed8e3e71f97a395a01b7837259bdd20/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-06-30 01:56:50 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e884fe49c2649f020d80469959621c78431c8f17/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-06-30 02:52:04 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b803120c0f4d61cb9ab70cb91c10dd980e440cbe/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-06-30 02:26:46 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fd67dcc8021d0a97b3cb2269c21c34f33829f9a4/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-06-30 03:21:47 -0400
develop,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2cab6d12d93031f5f93c754f2e7d3406759f2e45/develop/cori/intel/19.1.2/O/mpiuni/none),2022-06-30 09:02:32 -0700
develop,hera,pgi 19.1,intelmpi 2019.0.5,N/A N/A,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/866e700ddcd9772cb388474a597f86934b5ceb7b/develop/hera/pgi/19.1/O/intelmpi/2019.0.5),2022-06-30 10:34:17 +0000
develop,hera,pgi 19.1,intelmpi 2019.0.5,N/A N/A,g,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/77b09c568d19685d86539da1a7138b9a1f00e1e1/develop/hera/pgi/19.1/g/intelmpi/2019.0.5),2022-06-30 10:46:00 +0000
