branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/292054999e2adb4cda0c4a8ed30764db8f3c208f/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-07-18 03:01:19 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/eb2ca2b4ec75d8b29e4d97b849b8706f073724f4/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-07-18 03:22:17 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c149c4747433ebae8f6aa7dbda7baff839edd3be/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-07-18 03:06:52 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/75ac1dacf535b24cb16d736480592dc0832f0afb/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-07-18 03:29:35 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f3417862c8b679c1af90d91730f9f517d9ba998b/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-07-18 03:02:14 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d50dd3f8f593c684b20fe3f0a0ed73065defb69c/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-07-18 03:23:55 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/588ff3b72e16541b961f7a161f792c0415286863/develop/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-07-18 02:58:57 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fa2f8e0af4f65064648b4e358c8858215d11d317/develop/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-07-18 03:19:35 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1ab3ada34a4fc855aeb6c564d8e343d28e3b9c9b/develop/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-07-18 03:05:01 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1b6c8e822e5dbc591034d44582cb33ba6d170328/develop/cheyenne/gfortran/9.1.0/g/openmpi/4.0.5),2022-07-18 03:25:27 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a41503de4ceb0593f487fc78c046fa514aa1fb3c/develop/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),2022-07-18 04:25:01 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/78d4929e7ba37858670d7a7eab6ae82716f8e8b0/develop/cheyenne/intel/18.0.5/g/intelmpi/2018.4.274),2022-07-18 04:38:56 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.6.3 4.4.4,O,Linux,pass,12143,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/58a3e688cd5ae8f02a024ca00460fe09c3b232ff/develop/cheyenne/intel/18.0.5/O/mpiuni/none),2022-07-18 04:01:09 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.6.3 4.4.4,g,Linux,pass,12143,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bdab636c267bf0f0786614aba6e94982206fae08/develop/cheyenne/intel/18.0.5/g/mpiuni/none),2022-07-18 04:20:52 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dfe6f06d1e90ad0b3317a35a9ed2054988929274/develop/cheyenne/intel/18.0.5/O/mpt/2.19),2022-07-18 04:32:22 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/be7491b2cce722ba26477c2cba7b5a2ea2ce3f4f/develop/cheyenne/intel/18.0.5/g/mpt/2.19),2022-07-18 04:47:13 -0600
develop,cheyenne,intel 18.0.5,openmpi 3.1.4,4.6.3 4.4.4,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7e3a190b77635da955750e848e1e8b1916f17b50/develop/cheyenne/intel/18.0.5/O/openmpi/3.1.4),2022-07-18 04:26:07 -0600
develop,cheyenne,intel 18.0.5,openmpi 3.1.4,4.6.3 4.4.4,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bdd14f31fedf5b3b500259282298faa73da43c09/develop/cheyenne/intel/18.0.5/g/openmpi/3.1.4),2022-07-18 04:41:56 -0600
develop,cheyenne,nvhpc 22.2,mpt 2.25,4.8.1 4.5.3,O,Linux,pass,13661,5,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dc4c5772f4bca666876af8f56a799818a3dfc806/develop/cheyenne/nvhpc/22.2/O/mpt/2.25),2022-07-18 04:02:53 -0600
develop,cheyenne,nvhpc 22.2,mpt 2.25,4.8.1 4.5.3,g,Linux,pass,12783,883,35,14,66,14,10,40,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cf7c29d75e4c79ca8a7156a83b57acd38b0860b2/develop/cheyenne/nvhpc/22.2/g/mpt/2.25),2022-07-18 04:39:56 -0600
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/969ad585fd219f10901ca25b2a8e380acc716f62/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-07-18 01:58:33 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ad392c0a3fa1909066229ea4396d0669cbea2ebf/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-07-18 03:49:58 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6a834c48db142d2eae52afb05b104958968cf8cb/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-07-18 02:52:50 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dfac69c3d6d3e58154f0ec4343a72ea5cf745081/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-07-18 04:46:42 -0400
develop,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,O,Unicos,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e32ea508d40f16b62dc07baeeb279d9a6acd8745/develop/cori/intel/19.1.2/O/mpi/7.7.19),2022-07-17 18:21:31 -0700
develop,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,g,Unicos,pass,13666,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ef359ae544d78408ebca276e8d0bc44d674583d3/develop/cori/intel/19.1.2/g/mpi/7.7.19),2022-07-16 15:10:03 -0700
develop,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12143,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0339e495f7e100f6121c9eb40737a4a559688087/develop/cori/intel/19.1.2/O/mpiuni/none),2022-07-17 06:32:23 -0700
develop,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12143,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e70cca0e8b44f40f0ffcd559b691afc57dc15154/develop/cori/intel/19.1.2/g/mpiuni/none),2022-07-17 23:14:13 -0700
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13651,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5365ae8826161088f6217b83796b268049a3058c/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-07-18 01:42:13 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13651,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ca216f336a1d3c5fedae38545c3e37e073c80b6f/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-07-18 01:59:09 -0400
