branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13749,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e75b1b9fed3eaf5d5b45c44207ebddc1cbed2f64/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-07-19 01:41:34 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13749,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3a466ac05db4fb297fb4c6274714f8f031510abe/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-07-19 01:50:12 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13749,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5d2f4193ca7664ef96e08097b21754a4390ba73b/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-07-19 01:42:42 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13749,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3a466ac05db4fb297fb4c6274714f8f031510abe/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-07-19 01:50:12 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12241,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/342edbd217e719e969089bad12b8381dcee39caf/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-07-19 01:32:22 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12241,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8f09db3aca7beea6383741b5cf20cc78497ba433/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-07-19 01:43:11 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13764,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/240c69a96447cd2e7191f548830ba9c8d1102a5e/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-07-19 01:34:59 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13764,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/51366424e693f07830463045116bf9ba6849ebec/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-07-19 01:43:47 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13764,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d3871ccfc0c4a8914ded73d5e8bf4eadbb5d6280/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-07-19 01:57:55 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13764,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dac9c42eed32fce8cc5b335f2c2eb672debdb254/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-07-19 02:06:45 -0400
