branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fc1acbc8d38eddfad2f6f54d2cc717afdc5dcad6/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-07-20 01:58:42 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/903d8652d02d7b47c445c7c9de85c9a6e239aa87/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-07-20 02:55:27 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ee049fa8f696a105366960d5c979e810b5855370/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-07-20 02:29:34 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13767,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/76faf45ba03003090ee3f622cb8bd7140ad5c627/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-07-20 01:42:19 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13767,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b98fa7a478a1486ac5e76bb5b8b5896fb9cd9c81/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-07-20 01:51:59 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13767,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/72c702fdcb87cf2b4978487b5823d8db4aea07d4/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-07-20 01:40:37 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13767,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b98fa7a478a1486ac5e76bb5b8b5896fb9cd9c81/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-07-20 01:51:59 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12259,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/29f87d6b0bc6114e60b0525d6f54a5e8b295daca/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-07-20 01:30:46 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12259,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c6bfd46ce6e98cb3881e19b0533b23fe82e27e33/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-07-20 01:44:20 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13782,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/42d3d8376d50d50c44a0ef21bb5a11c35bb3b476/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-07-20 01:33:43 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13782,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/18f7783485d00f43f060980d8a995a6e15d579ec/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-07-20 01:45:09 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a9d2598a637badca7c1872b1bb1ed3cacdef8502/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-07-20 01:59:25 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/84b7011c7d10d4945526488131265ace68102485/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-07-20 02:04:50 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b98fa7a478a1486ac5e76bb5b8b5896fb9cd9c81/develop/discover/intel/19.1.3/O/mpt/2.17),2022-07-20 01:51:59 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13782,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/24b56f47aca5d9852d20e7fa02804f989a9b38ea/develop/discover/intel/19.1.3/g/mpt/2.17),2022-07-20 01:57:11 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4feaf824fed7f0b7d2e1a9517c0d00492f4d4417/develop/discover/pgi/20.4/O/mpiuni/none),2022-07-20 01:52:20 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13781,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dc3dfb8d8558fee4a1bca82c4a074c13520ee9dd/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-07-20 01:54:53 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13781,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1321d11ca311fc56fe8a7c6964231d2f15291d37/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-07-20 02:22:12 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12259,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3c68d0ec2abf6fc78d6d4856411599342d4fca08/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-07-20 01:35:19 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12259,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/92ba857f944d3b1c4cc25724818ccb67d9818b9c/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-07-20 02:05:23 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13767,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9e7fbafe4ca8fde4318a02bae82011b020e3f0c3/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-07-20 01:27:47 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13767,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f9c3b28259e63437c19795b4aa9538b338d4a205/develop/gaea/intel/2019.5/g/mpi/7.7.11),2022-07-20 01:37:55 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12244,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ecc72421c066b75127bd73d930d3bbcfc5f2201e/develop/gaea/intel/2019.5/O/mpiuni/none),2022-07-20 01:15:54 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12244,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4763725e2becede62f4fc7d312b9304933e7e3de/develop/gaea/intel/2019.5/g/mpiuni/none),2022-07-20 01:26:25 -0400
