branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
jedwards_pio_update2,acorn,gfortran 10.3.0,mpich3 8.1.7,4.7.4 4.5.3,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1cd9adf214bb54c67c46600b47f930d8a9aef35a/jedwards_pio_update2/acorn/gfortran/10.3.0/O/mpich3/8.1.7),2022-03-10 16:51:21.875785
jedwards_pio_update2,acorn,gfortran 10.3.0,mpich3 8.1.7,4.7.4 4.5.3,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/622e55cfb542a017a475c6862de74e6b1f094403/jedwards_pio_update2/acorn/gfortran/10.3.0/g/mpich3/8.1.7),2022-03-10 16:51:21.875760
jedwards_pio_update2,acorn,intel 2019.3,mpi 8.1.7,4.7.4 4.5.3,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f37d11f439660bff8c3b34ac8dd6a184cb5cc9b3/jedwards_pio_update2/acorn/intel/2019.3/O/mpi/8.1.7),2022-03-10 16:51:21.875797
jedwards_pio_update2,acorn,intel 2019.3,mpi 8.1.7,4.7.4 4.5.3,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9398da2b204080d6cc7abde5314fde110827b970/jedwards_pio_update2/acorn/intel/2019.3/g/mpi/8.1.7),2022-03-10 16:51:21.875792
jedwards_pio_update2,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,O,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d0292b5f01786af972dfb120a86a7594df6043ce/jedwards_pio_update2/orion/gfortran/8.3.0/O/mpiuni/none),2022-03-10 10:20:20.542183
jedwards_pio_update2,orion,gfortran 8.3.0,mpiuni none,4.7.4 4.5.3,g,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aedfa957dee1ca393188fe7e160e1364c05d702f/jedwards_pio_update2/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-10 13:19:55.458554
jedwards_pio_update2,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f4a23caf5c69498b8182341430319116ad0db6ce/jedwards_pio_update2/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-10 09:20:22.886325
jedwards_pio_update2,orion,gfortran 8.3.0,openmpi 4.0.2,4.7.4 4.5.3,g,Linux,pass,13258,389,49,0,79,1,34,16,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/10afe3904a50184d3b6b8deeb5b7a15f5fd0eb0a/jedwards_pio_update2/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-10 10:20:20.542159
jedwards_pio_update2,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5a1ef5fdbf3591c000a7b003aa29425e93eb548d/jedwards_pio_update2/orion/intel/2020/O/intelmpi/2020.2),2022-03-10 08:20:22.958400
jedwards_pio_update2,orion,intel 2020,intelmpi 2020.2,4.7.4 4.5.3,g,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/832a8af31c0c350c2f4170a2b3b4e42b0cf010c5/jedwards_pio_update2/orion/intel/2020/g/intelmpi/2020.2),2022-03-10 10:20:20.542191
