branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
jedwards_pio_update2,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/70cedc8d7fb1ac189c60e45f7278830fa3a911ed/jedwards_pio_update2/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-11 07:15:19.784181
jedwards_pio_update2,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/08b93b4337887b030b13abd9a926690b2b34c068/jedwards_pio_update2/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-11 07:15:19.784190
jedwards_pio_update2,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a88168eb3fa7c1e62ce3dd7f0ffe9e2d5699098e/jedwards_pio_update2/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-11 07:15:19.784105
jedwards_pio_update2,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13632,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8fd4005020fcb2bf09bc8cf7af05737183dda77f/jedwards_pio_update2/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-11 07:15:19.784152
jedwards_pio_update2,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c2cf2965f3a6163e470722df4327530e1c8a0d3e/jedwards_pio_update2/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-11 07:15:19.784195
jedwards_pio_update2,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12121,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/18c87b5b6532fdab40ea0aff03055fa27a2a41c5/jedwards_pio_update2/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-11 07:15:19.784168
jedwards_pio_update2,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c5a93a5700d09fbc6a7db13d6177f5ce1a32b72f/jedwards_pio_update2/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-11 07:15:19.784172
jedwards_pio_update2,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13647,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5745bba9ac5a6186406c5d83f23a954521c285e4/jedwards_pio_update2/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-11 07:15:19.784157
jedwards_pio_update2,discover,intel 2020,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fc9ae346149e98a15d3fcdb07cfe069145c3fae5/jedwards_pio_update2/discover/intel/2020/O/intelmpi/19.1.3.304),2022-03-11 07:15:19.784186
jedwards_pio_update2,discover,intel 2020,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9b1a4d1ce14fe0be3669d74a1368c4e27451f37d/jedwards_pio_update2/discover/intel/2020/g/intelmpi/19.1.3.304),2022-03-11 07:15:19.784162
