branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
release_8.3.0,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/24a975c9b56b5164dd6fc7b80edfc2ecc708b2dc/release_8.3.0/catania/gfortran/11.2.0/O/mpiuni/none),2022-06-01 09:55:32 -0600
release_8.3.0,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,g,Darwin,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/601839ab7492d8b987db57b291c0c084b4ae2ea5/release_8.3.0/catania/gfortran/11.2.0/g/mpiuni/none),2022-06-01 12:43:04 -0600
release_8.3.0,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13656,9,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a2ad938489fbcdb9c2b8b2dd2edc3bb04b969192/release_8.3.0/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-06-01 08:47:14 -0600
release_8.3.0,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13656,9,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/795023c2165f591cabcfd179609e1cbc3e7b1bce/release_8.3.0/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-06-01 11:24:30 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d2cdef6e71799a01c4f0de51915e7d3e0a23af9b/release_8.3.0/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-06-01 12:43:38 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1f72617b3f402ae944e22041949583fca95e5f0c/release_8.3.0/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-06-01 12:59:05 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d86a5012a4f992c8662e9c8b64fcae47c8425c4f/release_8.3.0/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-06-01 12:50:33 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dc36c688fb9ab07b72c0696d9c8564fb5a409538/release_8.3.0/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-06-01 13:05:43 -0600
release_8.3.0,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/788a879de5ed4fa588dcddd3f9c84708349ee09b/release_8.3.0/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-06-01 12:45:03 -0600
release_8.3.0,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6e35cbe2dd34358606e5d0c1bb5915a023e398f0/release_8.3.0/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-06-01 13:01:59 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d2cdef6e71799a01c4f0de51915e7d3e0a23af9b/release_8.3.0/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-06-01 12:43:38 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/57773476587fc85fb8dec88bb93751a475bfcd99/release_8.3.0/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-06-01 12:57:55 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9064fdefb23cabe8744042e981bfa3e059451775/release_8.3.0/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-06-01 12:46:51 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/87cd0aa6dd919d954cc0f86801ca0824f29291ac/release_8.3.0/cheyenne/gfortran/9.1.0/g/openmpi/4.0.5),2022-06-01 13:03:58 -0600
release_8.3.0,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/691d58774757528d542b4aa235875670bec0321b/release_8.3.0/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),2022-06-01 14:06:51 -0600
