branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
release_8.3.0,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c07a9a910794a680ec44e65c7f02be1a27d2305f/release_8.3.0/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-06-05 01:23:04 +0000
release_8.3.0,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/50c5d63fa633e2f2394fa727e014ef1daa886ead/release_8.3.0/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-06-05 01:24:32 +0000
release_8.3.0,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8c1bda26c8194ac2624210c5fe7a695f54d48547/release_8.3.0/acorn/intel/19.1.3/O/mpi/8.1.7),2022-06-05 01:50:45 +0000
release_8.3.0,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dc19f097bc36f1b377a523e3bb5dacba00edf627/release_8.3.0/acorn/intel/19.1.3/g/mpi/8.1.7),2022-06-05 01:51:11 +0000
release_8.3.0,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,O,Darwin,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c40ea1ba4234e770596c02c369da9c82402d91b4/release_8.3.0/catania/gfortran/11.2.0/O/mpiuni/none),2022-06-04 09:53:06 -0600
release_8.3.0,catania,gfortran 11.2.0,mpiuni none,4.7.4 4.5.3,g,Darwin,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/12bb46c4350c7c884f7edfe3bb54e333d45cfa89/release_8.3.0/catania/gfortran/11.2.0/g/mpiuni/none),2022-06-04 12:40:44 -0600
release_8.3.0,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,O,Darwin,pass,13656,9,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/37062c651131ec7594e4e9363b4bfeef90666b77/release_8.3.0/catania/gfortran/11.2.0/O/openmpi/4.1.0),2022-06-04 08:46:36 -0600
release_8.3.0,catania,gfortran 11.2.0,openmpi 4.1.0,4.7.4 4.5.3,g,Darwin,pass,13656,9,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/49c96e94d4811d148ad7650083e211c8c3467577/release_8.3.0/catania/gfortran/11.2.0/g/openmpi/4.1.0),2022-06-04 11:20:55 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ae1311e04e559880024db87f529a28f28f4dc7d2/release_8.3.0/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-06-05 03:06:42 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/94eea50b46ece173792c0290b4c7c8f6567dac2a/release_8.3.0/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-06-05 03:27:01 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e2a393b25abddcefca8e6b1178df5143720f7569/release_8.3.0/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-06-05 03:14:57 -0600
release_8.3.0,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a782544ba9092d293d0332011eeb6b627473d750/release_8.3.0/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-06-05 03:33:17 -0600
release_8.3.0,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fadf9f96ec3ba37e53ddfc2aed937d7ea3e17d5b/release_8.3.0/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-06-05 03:07:58 -0600
release_8.3.0,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/acad17d638e9d44a20eb6013ac2e86b6c65301c1/release_8.3.0/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-06-05 03:29:56 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c3c211bd36e25bd7293ea8fca6a5776d478ec4ca/release_8.3.0/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-06-05 03:05:09 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/774cc079624f8cab47dcf67bce250f856fc3e5c1/release_8.3.0/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-06-05 03:25:32 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f618d1593eb0ff56ed31a751c6fb57e300fe80e6/release_8.3.0/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-06-05 03:11:29 -0600
release_8.3.0,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/acad17d638e9d44a20eb6013ac2e86b6c65301c1/release_8.3.0/cheyenne/gfortran/9.1.0/g/openmpi/4.0.5),2022-06-05 03:29:56 -0600
release_8.3.0,cheyenne,nvhpc 22.2,mpt 2.25,4.8.1 4.5.3,O,Linux,pass,13662,3,49,0,80,0,45,5,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4b54943f457833eed704dfb184003c77a65d7b10/release_8.3.0/cheyenne/nvhpc/22.2/O/mpt/2.25),2022-06-05 04:10:23 -0600
release_8.3.0,cheyenne,nvhpc 22.2,mpt 2.25,4.8.1 4.5.3,g,Linux,pass,12777,888,35,14,66,14,10,40,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ba7788050da6870b596e5475f4c10df0c023a189/release_8.3.0/cheyenne/nvhpc/22.2/g/mpt/2.25),2022-06-05 05:16:42 -0600
release_8.3.0,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d4b709584822f52da25b9a4b889bf36f1bf83952/release_8.3.0/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-06-05 02:16:21 -0400
release_8.3.0,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/21da9a9c4b3b5baa6d88252b40f46d57c2f78fc2/release_8.3.0/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-06-05 04:14:20 -0400
release_8.3.0,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/89a2782abec3d3fa9740eda5f99cf34ee46f9819/release_8.3.0/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-06-05 03:23:58 -0400
release_8.3.0,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/00f4847584f658f5ce705e3a3adeb10003bf9723/release_8.3.0/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-06-05 05:21:31 -0400
release_8.3.0,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ac17d8a3610a23891a2faf7136294e627e3bbd4c/release_8.3.0/cori/intel/19.1.2/O/mpi/7.7.19),2022-06-04 12:01:09 -0700
release_8.3.0,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/289ced9507cf5375ad165167cc57ab392cac8914/release_8.3.0/cori/intel/19.1.2/g/mpi/7.7.19),2022-06-04 17:52:31 -0700
release_8.3.0,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/44af380739f028662266239796109a96cca13aca/release_8.3.0/cori/intel/19.1.2/O/mpiuni/none),2022-06-04 08:59:35 -0700
