branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
v8.3.0,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6b01062dbfe158ae8b5a651668c9b7c3aeab9611/v8.3.0/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-06-07 01:22:39 +0000
v8.3.0,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c83bd45180a8dd45cf5f77c7476f929391acc0fd/v8.3.0/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-06-07 01:24:34 +0000
v8.3.0,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9eb7eb71158683d74c158ec10469eae63d87c64a/v8.3.0/acorn/intel/19.1.3/O/mpi/8.1.7),2022-06-07 01:50:20 +0000
v8.3.0,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4cf515cfad8286f267f01419ab637d25d2764777/v8.3.0/acorn/intel/19.1.3/g/mpi/8.1.7),2022-06-07 01:50:45 +0000
v8.3.0,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/39a53255517a3e381d73cf2464e61113694d4532/v8.3.0/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-06-07 02:16:30 -0400
v8.3.0,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13650,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/15ad22eee799dd4f6d7da6a42d3ebf054b606033/v8.3.0/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-06-07 01:48:02 -0400
v8.3.0,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13650,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a79c5b1174470785966b3bd829272dd164ab0ea7/v8.3.0/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-06-07 02:15:43 -0400
v8.3.0,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13650,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2b79cf5081998229723ca654b56b4820fa63b08c/v8.3.0/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-06-07 01:40:07 -0400
v8.3.0,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13650,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7d73916b289eacbadd31affc1dc96bcd0613ed0e/v8.3.0/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-06-07 01:56:10 -0400
v8.3.0,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6bbf90cdaaf75ec0abe2fa3a92b3f915fcf21a63/v8.3.0/discover/gfortran/8.3.0/O/mpiuni/none),2022-06-07 01:32:29 -0400
